KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2022,2022,16828.0
1130,Strand,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2023,2023,40661.0
1130,Strand,940,Bruk av ubundne fond,KOSbelop0000,Beløp (1000 kr),2024,2024,58910.0
1130,Strand,AD930,Bruk av tidligere års regnskapsmessige mindreforbruk,KOSbelop0000,Beløp (1000 kr),2020,2020,-7968.0
1130,Strand,AD930,Bruk av tidligere års regnskapsmessige mindreforbruk,KOSbelop0000,Beløp (1000 kr),2021,2021,
1130,Strand,AD930,Bruk av tidligere års regnskapsmessige mindreforbruk,KOSbelop0000,Beløp (1000 kr),2022,2022,
1130,Strand,AD930,Bruk av tidligere års regnskapsmessige mindreforbruk,KOSbelop0000,Beløp (1000 kr),2023,2023,
1130,Strand,AD930,Bruk av tidligere års regnskapsmessige mindreforbruk,KOSbelop0000,Beløp (1000 kr),2024,2024,
1130,Strand,AD530,Dekning av tidligere års merforbruk,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AD530,Dekning av tidligere års merforbruk,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AD530,Dekning av tidligere års merforbruk,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AD530,Dekning av tidligere års merforbruk,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AD530,Dekning av tidligere års merforbruk,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AGD93,Sum disponering eller dekning av netto driftsresultat,KOSbelop0000,Beløp (1000 kr),2020,2020,24330.0
1130,Strand,AGD93,Sum disponering eller dekning av netto driftsresultat,KOSbelop0000,Beløp (1000 kr),2021,2021,25450.0
1130,Strand,AGD93,Sum disponering eller dekning av netto driftsresultat,KOSbelop0000,Beløp (1000 kr),2022,2022,6091.0
1130,Strand,AGD93,Sum disponering eller dekning av netto driftsresultat,KOSbelop0000,Beløp (1000 kr),2023,2023,-20018.0
1130,Strand,AGD93,Sum disponering eller dekning av netto driftsresultat,KOSbelop0000,Beløp (1000 kr),2024,2024,-53633.0
1130,Strand,AGD94,Fremført til inndekning i senere år (merforbruk),KOSbelop0000,Beløp (1000 kr),2020,2020,-246.0
1130,Strand,AGD94,Fremført til inndekning i senere år (merforbruk),KOSbelop0000,Beløp (1000 kr),2021,2021,-2194.0
1130,Strand,AGD94,Fremført til inndekning i senere år (merforbruk),KOSbelop0000,Beløp (1000 kr),2022,2022,-2667.0
1130,Strand,AGD94,Fremført til inndekning i senere år (merforbruk),KOSbelop0000,Beløp (1000 kr),2023,2023,-691.0
1130,Strand,AGD94,Fremført til inndekning i senere år (merforbruk),KOSbelop0000,Beløp (1000 kr),2024,2024,8702.0
1130,Strand,AG19,Differansen mellom (fylkes-)kommunens kjøp fra (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters salg til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2020,2020,3484.0
1130,Strand,AG19,Differansen mellom (fylkes-)kommunens kjøp fra (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters salg til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2021,2021,944.0
1130,Strand,AG19,Differansen mellom (fylkes-)kommunens kjøp fra (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters salg til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2022,2022,4546.0
1130,Strand,AG19,Differansen mellom (fylkes-)kommunens kjøp fra (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters salg til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2023,2023,-2616.0
1130,Strand,AG19,Differansen mellom (fylkes-)kommunens kjøp fra (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters salg til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2024,2024,-18882.0
1130,Strand,AG21,Differansen mellom (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters overføringer til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2020,2020,478.0
1130,Strand,AG21,Differansen mellom (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters overføringer til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2021,2021,12.0
1130,Strand,AG21,Differansen mellom (fylkes-)kommunens overføringer til (fylkes-)kommunale særbedrifter og (fylkes-)kommunale særbedrifters overføringer til egen (fylkes-)kommune,KOSbelop0000,Beløp (1000 kr),2022,2022,-384.0
